time,open,high,low,close
1654718400,30126.2,30515.8,30090,30192.5
1654732800,30192.6,30312.6,30055.3,30283
1654747200,30283,30479.7,30217.2,30477.3
1654761600,30477.4,30691.9,30256.7,30286.7
1654776000,30286.7,30386.2,29914.5,30285.8
1654790400,30285.9,30456.2,29956,30003.8
1654804800,30003.8,30244.2,29952.6,30093.3
1654819200,30093.4,30374.1,29470.5,30102
1654833600,30102,30240,30025.3,30041.6
1654848000,30041.6,30105.7,29853.2,30005.5
1654862400,30005.4,30177.4,29200,29438.2
1654876800,29438.2,29470.2,28805,28970.5
1654891200,28970.6,29398.8,28953.1,29077.7
1654905600,29077.7,29300,29033.7,29258.4
1654920000,29258.5,29427.9,29234.1,29309
1654934400,29309,29329.8,28550,28723.9
1654948800,28723.9,28865.4,28227.7,28392.3
1654963200,28392.6,28786.9,28080,28581
1654977600,28581.1,28684.6,28238,28416.7
1654992000,28416.6,28530.3,27244.9,27538.2
1655006400,27538.2,27673.4,27162.7,27629.4
1655020800,27629.5,27698,27324.5,27443.8
1655035200,27443.9,28337.7,26850,28077.8
1655049600,28077.8,28234.4,27404,27410
1655064000,27410,27545.4,26538.7,26564.7
1655078400,26564.7,26877,24864.2,25500
1655092800,25499.9,26241.5,24552,24801.2
1655107200,24801.1,24934.3,23464.3,23718.3
1655121600,23718.2,24357.6,22559.7,23253.1
1655136000,23255.3,24193.7,23094,23200.1
1655150400,23200.1,23780,21900,22471.5
1655164800,22471.4,22785.5,20823,22106.5
1655179200,22106.5,23424.2,21755.4,22863.2
1655193600,22863.3,22980,21712,21980
1655208000,21980,22793,21797.7,22672.6
1655222400,22672.6,22770,22111,22182
1655236800,22182,22350,21350,22122.7
1655251200,22122.7,22290,21400,21442.3
1655265600,21442.3,21481.7,20617.2,20707.5
1655280000,20707.5,21275.9,20100.2,21163.8
1655294400,21163.8,21794.7,21030.4,21408.8
1655308800,21408.8,22440,20179.9,21617.3
1655323200,21616.8,22800,21428.8,22567.5
1655337600,22567.5,23000,22152.5,22197.5
1655352000,22197.5,22353.5,21635.3,21748.9
1655366400,21748.9,21883.7,20852,21028.1
1655380800,21028.2,21490,20739,21067
1655395200,21067.7,21483,20800,20862.2
1655409600,20862.2,21040,20222,20387.4
1655424000,20387.4,21052.5,20228,20369
1655438400,20369.1,21288,20305.6,21087.5
1655452800,21087.9,21388,20833,20963.9
1655467200,20963.9,21036.6,20375.5,20656
1655481600,20656,20785.5,20430.3,20506.6
1655496000,20506.6,20721.7,20350,20457.3
1655510400,20457.3,20768.4,20300.8,20450
1655524800,20449.9,20532.5,19000,19244.9
1655539200,19245,19529.5,18690,19237
1655553600,19237,19278.3,18904,18946.6
1655568000,18946.7,19090,18020.9,18059.4
1655582400,18059.5,19500,17593.2,18959.7
1655596800,18959.7,19189.9,18215.8,18299.8
1655611200,18299.8,18615.4,17935.9,18297.2
1655625600,18297.1,20100,18255.5,19685.4
1655640000,19685.4,19937.7,19111,19816.3
1655654400,19816.3,20348.4,19363.8,20111.2
1655668800,20111.1,20821,20036.8,20564.2
1655683200,20564.3,20653.7,19630,19966.7
1655697600,19966.7,20276,19763,20076.7
1655712000,20076.7,21050,20010,20791
1655726400,20790.9,21099.9,20352,20815.4
1655740800,20815.4,20817.7,19814.8,20064.3
1655755200,20064.4,20780,19996.5,20570.1
1655769600,20570,20780,20337.8,20604.4
1655784000,20604.4,21354,20466.1,21107.7
1655798400,21107.8,21466.8,20905,20953.2
1655812800,20953.3,21740,20841.3,21382.8
1655827200,21382.9,21540,20863.6,20879.5
1655841600,20879.6,21056.7,20535.2,20713.1
1655856000,20713.1,20729.7,20246.5,20309
1655870400,20309,20592.5,19920,20091.6
1655884800,20091.6,20680,20032.7,20497.5
1655899200,20497.6,20888,20023.1,20075.4
1655913600,20075.4,20373.8,19830,20103
1655928000,20103,20234.9,19745.7,19977.4
1655942400,19977.5,20600,19874,20202.9
1655956800,20202.9,20666,20152,20446.2
1655971200,20446.2,20806.9,20433.8,20629.5
1655985600,20629.5,20855,20264.7,20339.9
1656000000,20339.9,20950,20158.1,20900.5
1656014400,20900.4,21250,20655,21096.6
1656028800,21096.6,21379.2,20963,21066.3
1656043200,21066.4,21168.9,20732.5,20903.9
1656057600,20903.8,21325,20736,21165
1656072000,21165,21491.4,20807,20875.4
1656086400,20875.5,21259.7,20771.5,21241.9
1656100800,21241.8,21563.5,21130.2,21231.2
1656115200,21231.2,21369.3,21110,21295
1656129600,21295,21627.6,21170,21495.5
1656144000,21495.5,21549.8,21308,21329.1
1656158400,21329.2,21366.9,20894,20958.9
1656172800,20959,21280,20907.5,21195.5
1656187200,21195.4,21600,21130,21481.9
1656201600,21481.9,21539.7,21263.7,21415.1
1656216000,21415.1,21520,21324.5,21390.1
1656230400,21390.1,21816,21355,21699.5
1656244800,21699.4,21888,21180,21314.2
1656259200,21314.2,21431.2,21116.5,21273.6
1656273600,21273.6,21420.1,20952,21029.1
1656288000,21029.1,21180,20908.8,21160.9
1656302400,21160.9,21387,21127.2,21354.9
1656316800,21354.9,21560,21277,21298.2
1656331200,21298.1,21338,20575,20744
1656345600,20744,20950,20500,20845.8
1656360000,20845.8,20966,20666,20730
1656374400,20730,20868.2,20510,20722.6
1656388800,20722.6,20920,20691.9,20868.2
1656403200,20868.3,21198,20855.8,20987.9
1656417600,20987.8,21138.7,20575.2,20595.4
1656432000,20595.7,20757.9,20209.1,20246.6
1656446400,20246.7,20450,20188,20268.6
1656460800,20268.7,20385.1,20140.5,20275.9
1656475200,20275.9,20366,19887.1,20080.6
1656489600,20080.5,20235.6,19817.2,20096.9
1656504000,20096.9,20180,19882.6,20076.3
1656518400,20076.3,20270.1,19920,20214.1
1656532800,20212.8,20430,20037.7,20109.9
1656547200,20109.9,20165,19932.4,20062.6
1656561600,20062.5,20077,19300,19423.5
1656576000,19423.1,19429.9,18902,19088.7
1656590400,19088.7,19338,18702,19133.5
1656604800,19133.4,19300,18843,18921.3
1656619200,18921.3,19965.6,18563,19923.5
1656633600,19923.3,20926.4,19649.5,19720.1
1656648000,19720.6,19748.5,19303,19566.1
1656662400,19566.1,19794.8,18948.8,19180
1656676800,19179.9,19666,19115.1,19279.5
1656691200,19279.4,19535,19237.6,19380.1
1656705600,19379.3,19686.8,19207.6,19272
1656720000,19272,19383.2,19043.6,19121.7
1656734400,19121.8,19296.2,19096.7,19119.9
1656748800,19120,19280.3,18959,19188.6
1656763200,19188.7,19456,19136.2,19219.9
1656777600,19219.9,19400,19181.6,19263.6
1656792000,19263.6,19375.3,19183.4,19240.9
1656806400,19241,19300,19150.1,19254.6
1656820800,19254.6,19392.6,18780.1,19127.8
1656835200,19127.7,19147,18921.9,19080
1656849600,19080.1,19114,18955,19035.3
1656864000,19035.3,19562.2,19008.7,19483.3
1656878400,19483.5,19645.4,19200,19305.9
1656892800,19306,19333.1,19046.3,19094
1656907200,19094,19179.4,19071.6,19115.2
1656921600,19115.1,19838,19102.3,19794.2
1656936000,19794.2,20123,19494.4,19792.4
1656950400,19792.4,20061.9,19666.3,19823.9
1656964800,19824,20350,19719.5,20226.6
1656979200,20226.3,20474,20150,20302.8
1656993600,20302.8,20448.6,20159,20207.7
1657008000,20207.8,20209.2,19461.9,19514.3
1657022400,19514.3,19585.7,19291.6,19507
1657036800,19507,20525.4,19478,20392.8
1657051200,20392.9,20749.2,20102,20170
